Name,Date & Time,Location,Type,Region
Seattle Kraken vs. Detroit Red Wings,2/19/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Thrifted,2/19/2024, High Dive,Music,Fremont / Ballard
Black and Boujee,Now through 2/20/2024, Bainbridge Island Museum of Art,Museums,West
From Mozart to Matthews,2/20/2024, Benaroya Hall,Music,Downtown
Lukas Nelson,2/20/2024, The Showbox,Music,Downtown
Mahogany – smARTfilms: Black Luxury,2/20/2024, Bainbridge Island Museum of Art,Film & Media Arts,West
Robots Who Paint,2/20/2024, Town Hall Seattle,Readings & Lectures,Downtown
Trask,2/20/2024, High Dive,Music,Fremont / Ballard
"Wu Han, Philip Setzer & David Finckel",2/20/2024, Meany Center for the Performing Arts,Music,University District
The Cookers,2/20/2024 through 2/21/2024, Dimitriou's Jazz Alley,Music,Downtown
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024, Town Hall Seattle,Readings & Lectures,Downtown
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024, Benaroya Hall,Music,Downtown
Bailen,2/22/2024, The Crocodile,Music,Downtown
Dr. Charan Ranganath,2/22/2024, Town Hall Seattle,Readings & Lectures,Downtown
Mountain Holler,2/22/2024, High Dive,Music,Fremont / Ballard
Seattle Kraken vs. Vancouver Canucks,2/22/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Shabaka,2/22/2024, Town Hall Seattle,Music,Downtown
Funky Friday with F2D,Now through 2/23/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024, Benaroya Hall,Music,Downtown
Caligula’s Horse,2/23/2024, El Corazon,Music,Downtown
Opera Talk: The Making of X,2/23/2024, Opera Center,Readings & Lectures,Queen Anne / Seattle Center
Tikkadoom and Nick Drummond,2/23/2024, The Royal Room,Music,South Seattle
Wreckno,2/23/2024, The Showbox,Music,Downtown
Kelly Akashi,Now through 2/24/2024, Henry Art Gallery,Museums,University District
The Lower Depths,2/6/2024 through 2/24/2024, Erickson Theatre,Theatre,Capitol Hill / Central District
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024, Town Hall Seattle,Music,Downtown
Crystal Skies,2/24/2024, Nectar Lounge,Music,Fremont / Ballard
Dan Brown Wild Symphony,2/24/2024, Benaroya Hall,Music,Downtown
Nate Jackson,2/24/2024, The Moore Theatre,Theatre,Downtown
Pink Sweat$,2/24/2024, The Showbox,Music,Downtown
Root and Branch,2/24/2024, Town Hall Seattle,Music,Downtown
Seattle Kraken vs. Minnesota Wild,2/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Small Island Big Song,2/24/2024, Meany Center for the Performing Arts,Music,University District
Born With Teeth,2/1/2024 through 2/25/2024, ArtsWest Playhouse and Gallery,Theatre,West Seattle
"Once More, Just For You",2/5/2024 through 2/25/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
Wintergrass Music Festival,2/22/2024 through 2/25/2024, Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024, The Royal Room,Music,South Seattle
Telling the Story,2/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
Cherry Glazerr,2/26/2024, Neumos,Music,Capitol Hill / Central District
Dick & Angel Dare to Do It,2/26/2024, The Paramount Theatre,Theatre,Downtown
Seattle Kraken vs. Boston Bruins,2/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024, Benaroya Hall,Readings & Lectures,Downtown
Big Tooth,2/27/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
Eric Klinenberg,2/27/2024, Town Hall Seattle,Readings & Lectures,Downtown
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024, Bainbridge Island Museum of Art,Museums,West
Joy Harjo,2/27/2024, Town Hall Seattle,Readings & Lectures,Downtown
Anand Gopal,2/28/2024, Town Hall Seattle,Readings & Lectures,Downtown
Dianne Reeves,2/28/2024, Town Hall Seattle,Music,Downtown
Kassa Overall,2/28/2024, Nectar Lounge,Music,Fremont / Ballard
Playboi Carti,2/28/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Winter Brilliance,Now through 2/29/2024, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
Seattle Museum Month,2/1/2024 through 2/29/2024, Downtown Seattle,Museums,Downtown
JNA and Tavia Rhodes,2/29/2024, The Royal Room,Music,South Seattle
Julian Lage,2/29/2024, Town Hall Seattle,Music,Downtown
MarchFourth,2/29/2024, Nectar Lounge,Music,Fremont / Ballard
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Human Family,2/29/2024, LANGSTON Seattle,Music,Capitol Hill / Central District
Enjambre,3/1/2024, Nectar Lounge,Music,Fremont / Ballard
Fall Out Boy,3/1/2024, Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024, Town Hall Seattle,Music,Downtown
Sloane Crosley with Ben Gibbard,3/1/2024, Town Hall Seattle,Readings & Lectures,Downtown
Tacoma Stars vs. Harrisburg Heat,3/1/2024, accesso ShoWare Center,Sports,South
Tommy Emmanuel,3/1/2024, The Moore Theatre,Music,Downtown
Facades,2/1/2024 through 3/2/2024, Harris Harvey Gallery,Visual Arts & Galleries,Downtown
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024, Benaroya Hall,Music,Downtown
Crypta,3/2/2024, El Corazon,Music,Downtown
Seattle Kraken vs. Edmonton Oilers,3/2/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Austin FC,3/2/2024, Lumen Field,Sports,Pioneer Square
Emerald City Comic Con,2/29/2024 through 3/3/2024, Seattle Convention Center,Festivals & Special Events,Downtown
Briscoe,3/3/2024, Tractor Tavern,Music,Fremont / Ballard
Tacoma Stars vs. Harrisburg Heat,3/3/2024, accesso ShoWare Center,Music,South
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024, Bainbridge Island Museum of Art,Museums,West
Atlus,3/7/2024, Nectar Lounge,Music,Fremont / Ballard
Calidore Quartet & Abeo Quartet,3/8/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown
Seattle Kraken vs. Winnipeg Jets,3/8/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Bach St. John Passion,3/7/2024 through 3/9/2024, Benaroya Hall,Music,Downtown
Ariel Pink,3/9/2024, El Corazon,Music,Downtown
Helene Grimaud,3/9/2024, Meany Center for the Performing Arts,Music,University District
Josiah and the Bonnevilles,3/9/2024, Barboza,Music,Capitol Hill / Central District
Mahan Esfahan,3/9/2024, Town Hall Seattle,Music,Downtown
Positive Fragmentation,Now through 3/10/2024, Bellevue Arts Museum,Museums,Bellevue / Eastside
Antonio M. Gomez: LINEAJES,Now through 3/10/2024, Frye Art Museum,Museums,Capitol Hill / Central District
Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
Luchadora!,2/22/2024 through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024, Benaroya Hall,Readings & Lectures,Downtown
Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Washington Capitals,3/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Autoheart,3/15/2024, El Corazon,Music,Downtown
The Snuts,3/15/2024, Barboza,Music,Capitol Hill / Central District
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024, Meany Center for the Performing Arts,Music,University District
Sibelius & Nielsen,3/14/2024 through 3/16/2024, Benaroya Hall,Music,Downtown
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024, accesso ShoWare Center,Sports,South
Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Colorado Rapids,3/16/2024, Lumen Field,Sports,Pioneer Square
Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South
Nobody Lives Here,Now through 3/17/2024, Wing Luke Museum,Museums,International District
Rootabaga Country,3/8/2024 through 3/17/2024, Opera Center,Music,Queen Anne / Seattle Center
Seattle Kraken vs. Buffalo Sabres,3/18/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. Empire Strykers,3/23/2024, accesso ShoWare Center,Sports,South
Something’s Afoot,3/1/2024 through 3/24/2024, The 5th Avenue Theatre,Theatre,Downtown
One Thousand Pieces,3/15/2024 through 3/24/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024, Benaroya Hall,Music,Downtown
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024, Burke Museum,Museums,University District
Seattle Kraken vs. Montreal Canadiens,3/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Anaheim Ducks,3/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Tim McGraw,3/29/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Harold and the Purple Crayon,3/23/2024 through 3/30/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Monster Jam,3/30/2024, Lumen Field,Festivals & Special Events,Pioneer Square
Seattle Kraken vs. Dallas Stars,3/30/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024, Museum of History & Industry,Museums,Queen Anne / Seattle Center
Shine On Seattle,Now through 3/31/2024, Pioneer Square,Festivals & Special Events,Pioneer Square
Sanctuary City,3/1/2024 through 3/31/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
Stew,3/15/2024 through 3/31/2024, ACT Theatre,Theatre,Downtown
Luis Miguel,4/4/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Taylor Raven and Duke Kim in Recital,4/4/2024, Opera Center,Music,Queen Anne / Seattle Center
Jo Koy,4/5/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Copland Appalachian Spring,4/4/2024 through 4/6/2024, Benaroya Hall,Music,Downtown
Seattle Sounders FC vs. CF Montreal,4/6/2024, Lumen Field,Sports,Pioneer Square
Tom Segura,4/6/2024, Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024, National Nordic Museum,Museums,Fremont / Ballard
Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown
Seattle Kraken vs. Arizona Coyotes,4/9/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. San Jose Sharks,4/11/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024, Benaroya Hall,Music,Downtown
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024, Seattle Art Museum,Museums,Downtown
The Moors,3/22/2024 through 4/14/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
Mahler Symphony No. 3,4/11/2024 through 4/14/2024, Benaroya Hall,Music,Downtown
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024, Magnuson Park,Festivals & Special Events,University District
An Evening with Jinjoo Cho,4/19/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024, Benaroya Hall,Music,Downtown
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024, Lumen Field,Sports,Pioneer Square
The Seasons’ Canon,4/12/2024 through 4/21/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
DRUM TAO 30th Anniversary,4/22/2024, Benaroya Hall,Music,Downtown
AJR,4/26/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Disney’s Aladdin,4/24/2024 through 4/28/2024, The Paramount Theatre,Theatre,Downtown
Antarctic Symphony,4/25/2024 through 4/28/2024, Benaroya Hall,Music,Downtown
Noah Geller’s Playlist,5/3/2024 through 5/4/2024, Benaroya Hall,Music,Downtown
Broadway Spectacular,5/4/2024, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024, Frye Art Museum,Museums,Capitol Hill / Central District
The Lion Tells His Tale,5/1/2024 through 5/5/2024, Broadway Performance Hall,Theatre,Capitol Hill / Central District
Seattle Sounders FC vs. LA Galaxy,5/5/2024, Lumen Field,Sports,Pioneer Square
Melanie Martinez,5/10/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024, Seattle Art Museum,Museums,Downtown
Fat Ham,4/12/2024 through 5/12/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
The Lehman Trilogy,4/26/2024 through 5/12/2024, ACT Theatre,Theatre,Downtown
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024, Benaroya Hall,Readings & Lectures,Downtown
Seattle Storm vs Minnesota Lynx,5/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Mother,5/17/2024, 415 Westlake,Music,Queen Anne / Seattle Center
Barber Violin Concerto,5/16/2024 through 5/18/2024, Benaroya Hall,Music,Downtown
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024, Lumen Field,Sports,Pioneer Square
Seattle Storm vs. Indiana Fever,5/22/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
The Barber of Seville,5/4/2024 through 5/24/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Seattle Storm vs. Washington Mystics,5/25/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Real Salt Lake,5/29/2024, Lumen Field,Sports,Pioneer Square
Unriveled,5/10/2024 through 6/2/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
Seattle Storm vs. Phoenix Mercury,6/4/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024, Benaroya Hall,Music,Downtown
Seattle Storm vs. Los Angeles Sparks,6/11/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024, Benaroya Hall,Music,Downtown
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024, Seattle Art Museum,Museums,Downtown
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024, Benaroya Hall,Music,Downtown
Seattle Sounders FC vs. Minnesota United FC,6/22/2024, Lumen Field,Sports,Pioneer Square
"Together Again, Again!",5/31/2024 through 6/23/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024, Sahalee Country Club,Sports,Bellevue / Eastside
Lip Sync for Our Rights,6/22/2024 through 6/23/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
Seattle Storm vs. Connecticut Sun,6/23/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Indiana Fever,6/27/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Company,6/23/2024 through 6/28/2024, The Paramount Theatre,Music,Downtown
Seattle Storm vs. Dallas Wings,6/29/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Sounders FC vs. Chicago Fire FC,6/29/2024, Lumen Field,Sports,Pioneer Square
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024, Henry Art Gallery,Museums,University District
Spring Awakening,6/7/2024 through 6/30/2024, The 5th Avenue Theatre,Theatre,Downtown
Girl From The North Country,6/25/2024 through 6/30/2024, The Paramount Theatre,Music,Downtown
Seattle Storm vs Dallas Wings,7/1/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Chicago Sky,7/5/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District
Seattle Storm vs.Chicago Sky,7/7/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Las Vegas Aces,7/10/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Minnesota Lynx,7/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Atlanta Dream,7/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. Los Angeles FC,7/20/2024, Lumen Field,Sports,Pioneer Square
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard
Clue,7/9/2024 through 7/21/2024, The 5th Avenue Theatre,Theatre,Downtown
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District
Olivia Rodrigo,8/6/2024 through 8/7/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Seattle Storm vs. Washington Mystics,8/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Atlanta Dream,8/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. New York Liberty,8/30/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
Poke in the Eye: Art of the West Coast Counterculture,6/21/2024 through 9/2/2024, Seattle Art Museum,Museums,Downtown
"Chicago and Earth, Wind & Fire,",9/3/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
Seattle Storm vs. Phoenix Mercury,9/7/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Sound Check! The Music We Make,Now through 9/14/2024, Wing Luke Museum,Museums,International District
Seattle Sounders FC vs. Sporting Kansas City,9/15/2024, Lumen Field,Sports,Pioneer Square
Seattle Storm vs. Los Angeles Sparks,9/15/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Storm vs. Las Vegas Aces,9/17/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Sounders FC vs. San Jose Earthquakes,9/18/2024, Lumen Field,Sports,Pioneer Square
Seatle Sounders FC vs. Houston Dynamo,9/28/2024, Lumen Field,Sports,Pioneer Square
Raul de Nieves,Now through 9/30/2024, Henry Art Gallery,Museums,University District
